Year,Grid_Ref_Easting,Grid_Ref_Northing,Number_of_Vehicles,Number_of_Casualties,Accident_Date,Time,Road_Class,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Casualty_Severity,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle
2013,435001,438398,2,3,4.1.2013,1140,"A (""back roads"")",Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,49,Goods vehicle <=3.5 tons
2013,435001,438398,2,3,4.1.2013,1140,"A (""back roads"")",Wet,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,81,Car
2013,427192,439170,2,1,4.1.2013,950,Unclassified,Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,37,Car
2013,424460,439070,2,1,4.1.2013,1417,Unclassified,Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Serious,Male,67,Goods vehicle <=3.5 tons
2013,424232,428230,2,1,4.1.2013,1520,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,35,Car
2013,420808,434738,1,1,4.1.2013,1405,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Serious,Female,83,Bus or coach
2013,433461,428999,2,1,5.1.2013,1737,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Fatal,Male,17,Motorcycle over 500cc
2013,428097,434518,2,1,6.1.2013,125,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,33,Car
2013,420484,434298,3,1,6.1.2013,1230,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,75,Car
2013,440607,432088,4,2,6.1.2013,1345,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Serious,Male,26,Motorcycle over 500cc
2013,440607,432088,4,2,6.1.2013,1345,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,31,Motorcycle over 500cc
2013,429154,429904,2,1,6.1.2013,1730,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Female,20,Motorcycle <= 50cc
2013,431626,434446,1,1,7.1.2013,1021,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Female,26,Car
2013,420402,434121,2,1,7.1.2013,955,B (regional road),Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,34,Bicycle
2013,426898,435691,2,1,7.1.2013,1300,B (regional road),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,20,Bicycle
2013,429969,423861,3,1,7.1.2013,1732,Motorway (freeway),Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Female,26,Car
2013,427024,431642,2,1,7.1.2013,1730,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Serious,Male,38,Bicycle
2013,432808,425995,2,1,7.1.2013,1740,Motorway (freeway),Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Female,33,Car
2013,428381,432522,2,1,7.1.2013,2200,"A (""back roads"")",Dry,Darkness (streetlights present but unlit),Fine without high winds,Driver or rider,Slight,Male,23,Bicycle
2013,431321,428469,2,1,8.1.2013,635,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,38,Motorcycle >50cc and <=125cc
2013,430003,438577,2,1,6.1.2013,1100,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,49,Minibus
2013,425826,438087,4,1,8.1.2013,840,"A (""back roads"")",Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,44,Car
2013,433137,433315,2,1,8.1.2013,1250,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,30,Motorcycle >50cc and <=125cc
2013,430742,435470,1,1,8.1.2013,1500,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Serious,Female,30,Taxi/Private hire car
2013,423018,437654,2,1,7.1.2013,700,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,37,Bicycle
2013,426946,435422,2,3,8.1.2013,1725,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,45,Car
2013,426946,435422,2,3,8.1.2013,1725,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Vehicle or pillion passenger,Slight,Male,9,Car
2013,426946,435422,2,3,8.1.2013,1725,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Vehicle or pillion passenger,Slight,Female,7,Car
2013,429694,432311,2,1,8.1.2013,1822,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Female,23,Car
2013,431874,435944,2,1,9.1.2013,645,B (regional road),Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,21,Bicycle
2013,422183,428749,2,1,9.1.2013,725,B (regional road),Wet,Darkness (streetlights present but unlit),Fine without high winds,Driver or rider,Serious,Male,52,Motorcycle over 500cc
2013,434559,434440,2,1,9.1.2013,730,"A (""back roads"")",Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,29,Bicycle
2013,419494,437015,3,2,9.1.2013,810,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,30,Car
2013,419494,437015,3,2,9.1.2013,810,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,56,Car
2013,434960,433393,1,1,9.1.2013,1310,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Female,72,Car
2013,439471,446163,1,1,9.1.2013,1250,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,49,Motorcycle >50cc and <=125cc
2013,430496,425026,1,1,9.1.2013,1515,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Female,55,Car
2013,431884,435154,2,1,9.1.2013,1743,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,41,Car
2013,431983,435510,2,1,9.1.2013,1816,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,35,Car
2013,430266,433985,2,1,9.1.2013,1800,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,52,Motorcycle >50cc and <=125cc
2013,427034,432971,2,2,9.1.2013,1711,Unclassified,Dry,Darkness (streetlights present but unlit),Fine without high winds,Vehicle or pillion passenger,Slight,Male,19,Taxi/Private hire car
2013,427034,432971,2,2,9.1.2013,1711,Unclassified,Dry,Darkness (streetlights present but unlit),Fine without high winds,Vehicle or pillion passenger,Slight,Male,20,Taxi/Private hire car
2013,425321,443091,1,2,9.1.2013,2005,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,18,Car
2013,425321,443091,1,2,9.1.2013,2005,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Serious,Male,18,Car
2013,431869,435685,1,1,9.1.2013,1035,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Female,16,Car
2013,428947,429853,1,1,8.1.2013,1010,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Female,75,Car
2013,430235,433212,3,2,10.1.2013,54,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,24,Car
2013,430235,433212,3,2,10.1.2013,54,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Male,23,Car
2013,431357,431611,1,1,8.1.2013,1230,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Male,23,Car
2013,424857,434439,1,1,10.1.2013,750,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Serious,Female,21,Car
2013,427573,434535,2,1,8.1.2013,1035,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,77,Car
2013,428390,429594,1,1,10.1.2013,1805,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Pedestrian,Slight,Male,30,Car
2013,439405,432653,2,1,10.1.2013,1825,"A (""back roads"")",Wet,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Male,15,Car
2013,431748,435495,1,1,10.1.2013,2111,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Pedestrian,Slight,Male,13,Bus or coach
2013,425107,433759,2,4,10.1.2013,2310,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,49,Car
2013,425107,433759,2,4,10.1.2013,2310,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,42,Car
2013,425107,433759,2,4,10.1.2013,2310,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Female,32,Car
