"Year","Reference_Number","Grid_Ref_Easting","Grid_Ref_Northing","Number_of_Vehicles","Number_of_Casualties","Accident_Date","Time","Road_Class","Road_Surface","Lighting_Conditions","Weather_Conditions","Casualty_Class","Casualty_Severity","Sex_of_Casualty","Age_of_Casualty","Type_of_Vehicle"
"2013","130000503","434299","433794","1","2","1_1_2013","938","A (back roads)","Wet","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Serious","Male","27","Car"
"2013","130000503","434299","433794","1","2","1_1_2013","938","A (back roads)","Wet","Daylight (streetlights present)","Fine w/o high winds","Vehicle or pillion passenger","Serious","Male","28","Car"
"2013","130000846","427131","431591","1","3","1_1_2013","1518","A (back roads)","Dry","Daylight (streetlights present)","Fine w/o high winds","Vehicle or pillion passenger","Serious","Male","26","Car"
"2013","130000846","427131","431591","1","3","1_1_2013","1518","A (back roads)","Dry","Daylight (streetlights present)","Fine w/o high winds","Vehicle or pillion passenger","Serious","Male","17","Car"
"2013","130000846","427131","431591","1","3","1_1_2013","1518","A (back roads)","Dry","Daylight (streetlights present)","Fine w/o high winds","Vehicle or pillion passenger","Serious","Male","27","Car"
"2013","130002193","431940","435674","1","1","2_1_2013","1545","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Pedestrian","Slight","Female","28","Car"
"2013","130002211","430894","433377","2","1","2_1_2013","1600","A (back roads)","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Female","20","Car"
"2013","130002813","431827","441776","2","2","3_1_2013","520","A (back roads)","Wet","Darkness (no streetlights)","Raining w/o high winds","Driver or rider","Slight","Male","45","Car"
"2013","130002813","431827","441776","2","2","3_1_2013","520","A (back roads)","Wet","Darkness (no streetlights)","Raining w/o high winds","Driver or rider","Slight","Male","48","Car"
"2013","130003232","435312","435027","1","1","2_1_2013","1414","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Pedestrian","Serious","Female","7","Car"
"2013","130003700","431346","435145","2","1","3_1_2013","1700","Unclassified","Wet","Darkness (streetlights present and lit)","Raining w/o high winds","Driver or rider","Slight","Male","48","Bicycle"
"2013","130003864","432732","430406","3","1","3_1_2013","1702","B (regional road)","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Slight","Female","22","Car"
"2013","130004013","435102","433493","2","1","3_1_2013","1928","A (back roads)","Wet","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Female","31","Car"
"2013","130004392","427367","431028","2","1","4_1_2013","700","Unclassified","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Serious","Male","27","Goods vehicle >3.5 tons and <7.5 tons"
"2013","130004690","435001","438398","2","3","4_1_2013","1140","A (back roads)","Wet","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","79","Car"
"2013","130004690","435001","438398","2","3","4_1_2013","1140","A (back roads)","Wet","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","49","Goods vehicle <=3.5 tons"
"2013","130004690","435001","438398","2","3","4_1_2013","1140","A (back roads)","Wet","Daylight (streetlights present)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Female","81","Car"
"2013","130004706","427192","439170","2","1","4_1_2013","950","Unclassified","Wet","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","37","Car"
"2013","130005099","424460","439070","2","1","4_1_2013","1417","Unclassified","Wet","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Serious","Male","67","Goods vehicle <=3.5 tons"
"2013","130005175","424232","428230","2","1","4_1_2013","1520","A (back roads)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","35","Car"
"2013","130005214","420808","434738","1","1","4_1_2013","1405","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Vehicle or pillion passenger","Serious","Female","83","Bus or coach"
"2013","130006917","433461","428999","2","1","5_1_2013","1737","Unclassified","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Fatal","Male","17","Motorcycle over 500cc"
"2013","130007118","428097","434518","2","1","6_1_2013","125","Unclassified","Dry","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Slight","Male","33","Car"
"2013","130007577","420484","434298","3","1","6_1_2013","1230","A (back roads)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","75","Car"
